Ontario Ravioli Frozen Pasta,$3.49,1,,,,SAVE UP TO 40¢,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
"Organic Peaches, Nectarines or Plums",$3.99,1,,lb,,,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Organic Strawberries,$4.99,1,,,,,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Outdoor Mums,$10.00,2,,,$5.99,,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Oxiclean Dishwasher Detergent,$7.99,1,,,,SAVE UP TO 1.00,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Palmolive Dish Soap,$2.00,1,,,,SAVE UP TO 99¢,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Pantene Hair Care,$4.49,1,,,,SAVE UP TO 2.50,3,BUY 2 EARN AIR MILES +3 reward miles,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Parlour Frozen Dessert,$2.99,1,,,,SAVE UP TO 4.20,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Party Cube Cheese Spread,$7.99,2,,,,SAVE UP TO 3.40 on 2,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Peaches,$4.99,1,,,,,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Pepperidge Farm Goldfish,$5.00,2,,,$2.79,SAVE UP TO 70¢ ON 2,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Pie Slices,$1.00,1,,,,SAVE UP TO 99¢,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Pillsbury Toaster Strudel,$2.00,1,,,,SAVE UP TO 1.59,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
"Pkg of Beef, Chicken Strips or Shrimp",,1,,,,"BUY 1 Pkg of Beef, Chicken Strips or Shrimp GET 1 Made Fresh Daily Veggie Stir Fry, Asian Stir Fry or Bell Pepper Mix assorted sizes FREE",,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Popchips,$2.79,1,,,,SAVE UP TO 36¢,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Pork Back Ribs,$4.99,1,,lb,,SAVE $2.00 /lb,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Pork Sirloin Chops,$3.49,1,,lb,,SAVE 1.50/lb,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Powerade,$5.00,3,,,,SAVE UP TO 97¢ on 3,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Purex Laundry Detergent,$5.49,1,,,,SAVE UP TO 1.50,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Quaker Cereals,$5.00,2,,,,SAVE UP TO 6.98 on 2,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Quaker Granola Bars,$5.00,2,,,,SAVE UP TO 98¢ on 2,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Quaker Soft Baked Oatmeal Cookies,$4.00,2,,,,SAVE UP TO 1.98 on 2,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Raspberries,$1.99,1,,,,SAVE UP TO 2.00,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Royale Bathroom Tissue,$3.00,1,,,,SAVE UP TO 5.99,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Sam Mills Corn Pasta,$2.49,1,,,,SAVE UP TO 1.00,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Schneiders Beef Steakettes,$2.00,1,,,,SAVE 2.99,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Schneiders Red Hots or Maple Leaf Top Dogs Wieners,$2.99,1,,,,SAVE UP TO 2.50,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Scotties Facial Tissåues Multipack,$5.99,1,,,,SAVE UP TO 3.00,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Sealtest 5% or 10% Cream,$2.29,1,,,,SAVE UP TO 60¢,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Seasoned Flattened Chicken,,1,,,,BUY 1 Seasoned Flattened Chicken GET 1 In-store Made BBQ Grillers 170 - 625 g FREE,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Sensations by Compliments Kansas City BBQ Sauce,$1.99,1,,,,SAVE UP TO 1.16,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Sensations by Compliments Naan,$2.79,1,,,,,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Sensations by Compliments Orange Juice,$3.00,1,,,,SAVE UP TO 1.59,4,BUY 2 EARN AIR MILES +4 reward miles,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Sensations by Compliments Shrimp Crowns or Crispy Noodle Shrimp Twists,,1,,,,Save 9.99 each,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Sensations by Compliments Thin Sliced Chicken Breast,$9.99,1,,lb,,SAVE 1.00/lb,5,BUY 2 EARN AIR MILES +5 reward miles,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Sensations by Compliments Turkey Sausage,$4.49,1,,,,SAVE 50¢,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Sensodyne Toothpaste,$3.99,1,,,,SAVE UP TO $1.00,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
